round,alive_nodes,node_id,remaining_energy_j
8,100,52,1.974083
8,100,53,1.966277
8,100,54,1.990078
8,100,55,1.991321
8,100,56,1.974118
8,100,57,1.955226
8,100,58,1.993317
8,100,59,1.963799
8,100,60,1.994569
8,100,61,1.975164
8,100,62,1.992906
8,100,63,1.971851
8,100,64,1.988643
8,100,65,1.992461
8,100,66,1.989256
8,100,67,1.950898
8,100,68,1.993764
8,100,69,1.996179
8,100,70,1.971111
8,100,71,1.99428
8,100,72,1.963815
8,100,73,1.991709
8,100,74,1.99418
8,100,75,1.982281
8,100,76,1.943033
8,100,77,1.993078
8,100,78,1.99395
8,100,79,1.993345
8,100,80,1.990561
8,100,81,1.992305
8,100,82,1.994264
8,100,83,1.987892
8,100,84,1.987754
8,100,85,1.978691
8,100,86,1.976585
8,100,87,1.993625
8,100,88,1.978469
8,100,89,1.986658
8,100,90,1.977586
8,100,91,1.990813
8,100,92,1.994379
8,100,93,1.975521
8,100,94,1.994083
8,100,95,1.988393
8,100,96,1.984056
8,100,97,1.995699
8,100,98,1.95406
8,100,99,1.973814
9,100,0,1.989901
9,100,1,1.99294
9,100,2,1.973202
9,100,3,1.993899
9,100,4,1.933802
9,100,5,1.994234
9,100,6,1.992601
9,100,7,1.994662
9,100,8,1.984578
9,100,9,1.973867
9,100,10,1.994578
9,100,11,1.871332
9,100,12,1.966916
9,100,13,1.990556
9,100,14,1.929032
9,100,15,1.97644
9,100,16,1.984321
9,100,17,1.992206
9,100,18,1.984034
9,100,19,1.989114
9,100,20,1.97023
9,100,21,1.960816
9,100,22,1.945768
9,100,23,1.991132
9,100,24,1.967737
9,100,25,1.992731
9,100,26,1.95451
9,100,27,1.987503
9,100,28,1.981685
9,100,29,1.978223
9,100,30,1.975053
9,100,31,1.993414
9,100,32,1.973748
9,100,33,1.979422
9,100,34,1.927711
9,100,35,1.849434
9,100,36,1.975497
9,100,37,1.980943
9,100,38,1.988089
9,100,39,1.991345
9,100,40,1.960079
9,100,41,1.909554
9,100,42,1.975054
9,100,43,1.973191
9,100,44,1.964572
9,100,45,1.973698
9,100,46,1.982939
9,100,47,1.991312
9,100,48,1.990063
9,100,49,1.905773
9,100,50,1.957919
9,100,51,1.989124
9,100,52,1.973773
9,100,53,1.965636
9,100,54,1.989803
9,100,55,1.987986
9,100,56,1.973817
9,100,57,1.916439
9,100,58,1.992893
9,100,59,1.963548
9,100,60,1.988151
9,100,61,1.974859
9,100,62,1.992443
9,100,63,1.95764
9,100,64,1.987812
9,100,65,1.991729
9,100,66,1.98905
9,100,67,1.937167
9,100,68,1.993551
9,100,69,1.993455
9,100,70,1.970502
9,100,71,1.993823
9,100,72,1.961968
9,100,73,1.991453
9,100,74,1.99374
9,100,75,1.976649
9,100,76,1.942675
9,100,77,1.992587
9,100,78,1.993629
9,100,79,1.992982
9,100,80,1.990328
9,100,81,1.99209
9,100,82,1.993728
9,100,83,1.987475
9,100,84,1.987537
9,100,85,1.978302
9,100,86,1.976328
9,100,87,1.993397
9,100,88,1.96854
9,100,89,1.986095
9,100,90,1.968466
9,100,91,1.98891
9,100,92,1.99417
9,100,93,1.97506
9,100,94,1.993854
9,100,95,1.988054
9,100,96,1.983487
9,100,97,1.994322
9,100,98,1.952297
9,100,99,1.973585
10,100,0,1.988585
10,100,1,1.992631
10,100,2,1.967066
10,100,3,1.993537
10,100,4,1.931902
10,100,5,1.993801
10,100,6,1.991123
10,100,7,1.993984
10,100,8,1.980355
10,100,9,1.973627
10,100,10,1.994294
10,100,11,1.869845
10,100,12,1.955459
10,100,13,1.986592
10,100,14,1.90796
10,100,15,1.975845
10,100,16,1.983918
10,100,17,1.991866
10,100,18,1.983818
10,100,19,1.98891
10,100,20,1.943533
10,100,21,1.954276
10,100,22,1.945499
10,100,23,1.987985
10,100,24,1.966543
10,100,25,1.989316
10,100,26,1.937254
10,100,27,1.987188
10,100,28,1.977896
10,100,29,1.977735
10,100,30,1.971498
10,100,31,1.992985
10,100,32,1.963281
10,100,33,1.973306
10,100,34,1.905411
10,100,35,1.78576
10,100,36,1.966896
10,100,37,1.980659
10,100,38,1.986937
10,100,39,1.989048
10,100,40,1.946522
10,100,41,1.90918
10,100,42,1.974706
10,100,43,1.966164
10,100,44,1.963322
10,100,45,1.967681
10,100,46,1.978446
10,100,47,1.990356
10,100,48,1.989401
10,100,49,1.873969
10,100,50,1.949951
10,100,51,1.988622
10,100,52,1.964394
10,100,53,1.953581
10,100,54,1.988752
10,100,55,1.982085
10,100,56,1.973462
10,100,57,1.88515
10,100,58,1.992583
10,100,59,1.963043
10,100,60,1.985046
10,100,61,1.96594
10,100,62,1.992068
10,100,63,1.938024
10,100,64,1.987323
10,100,65,1.991443
10,100,66,1.988661
10,100,67,1.936766
10,100,68,1.993195
10,100,69,1.993149
10,100,70,1.970229
10,100,71,1.993353
10,100,72,1.93111
10,100,73,1.991198
10,100,74,1.993464
10,100,75,1.975969
10,100,76,1.930687
10,100,77,1.992278
10,100,78,1.993249
10,100,79,1.992678
10,100,80,1.988942
10,100,81,1.991133
10,100,82,1.993461
10,100,83,1.984612
10,100,84,1.979177
10,100,85,1.977538
10,100,86,1.972728
10,100,87,1.992994
10,100,88,1.968293
10,100,89,1.985653
10,100,90,1.965909
10,100,91,1.98869
10,100,92,1.993964
10,100,93,1.966509
10,100,94,1.993624
10,100,95,1.986276
10,100,96,1.983157
10,100,97,1.990964
10,100,98,1.952052
10,100,99,1.971869
11,100,0,1.988198
11,100,1,1.9867
11,100,2,1.966755
11,100,3,1.993057
11,100,4,1.889303
